"Sample"	"NSlikelihood"	"posterior"	"likelihood"	"prior"	"treeLikelihood.file66a54de85737"	"TreeHeight"	"BirthDeath"	"BDBirthRate"	"BDDeathRate"	"logP.mrca.auto_name_1.."	"mrca.age.auto_name_1."	"clockRate"
"1"	0	-6358.62641195511	-8970.69437679729	-6358.62641195511	-2612.06796484218	-6358.62641195511	14.9284222186246	-56.3673882791483	0.50828443307049	0.298702657101074	-2555.70057656303	14.9284222186246	2.10905178974411
"2"	1	-6037.15950846222	-8663.14952716097	-6037.15950846222	-2625.99001869875	-6037.15950846222	14.9284222186246	-70.2894421357167	0.275757069804987	0.63565135766375	-2555.70057656303	14.9284222186246	3.46590419223979
"3"	2	-6032.07577667411	-6893.98960057574	-6032.07577667411	-861.913823901621	-6032.07577667411	15.0400899901177	-64.2989868280499	0.242766878648247	0.811182083495162	-797.614837073571	15.0400899901177	5.42075533192951
"4"	3	-5929.14239646068	-6766.23956977028	-5929.14239646068	-837.097173309596	-5929.14239646068	15.0400899901177	-39.4823362360249	0.203151465960504	0.886190041456633	-797.614837073571	15.0400899901177	4.54775429245321
"5"	4	-5923.32479648732	-6460.96675036914	-5923.32479648732	-537.641953881815	-5923.32479648732	15.0315290184273	-46.5912691316929	0.172714565739516	0.936734337639322	-491.050684750122	15.0315290184273	6.54767715022251
"6"	5	-5867.90113644908	-6397.84227467385	-5867.90113644908	-529.94113822477	-5867.90113644908	15.0315290184273	-38.8904534746483	0.120233199814898	0.964499188855428	-491.050684750122	15.0315290184273	6.23599488797113
"7"	6	-5853.19410826742	-6335.88396148742	-5853.19410826742	-482.689853220005	-5853.19410826742	15.0294961540071	-53.6671193608046	0.147765494043104	0.933483827935446	-429.0227338592	15.0294961540071	3.58227759445678
"8"	7	-5846.45152726359	-6057.19089578372	-5846.45152726359	-210.739368520127	-5846.45152726359	14.9812372495819	-40.707783639852	0.226659050577362	0.935663675237818	-170.031584880275	14.9812372495819	4.54218722296409
"9"	8	-5842.38002217977	-6055.62653598198	-5842.38002217977	-213.246513802208	-5842.38002217977	14.9812372495819	-43.2149289219332	0.197361475449199	0.911852279727713	-170.031584880275	14.9812372495819	7.56138495077521
"10"	9	-5697.06009135703	-5904.56024102142	-5697.06009135703	-207.500149664388	-5697.06009135703	14.9812372495819	-37.4685647841133	0.17733556126743	0.951070301930223	-170.031584880275	14.9812372495819	4.04613819190333
"11"	10	-5661.76654414416	-5866.03393681749	-5661.76654414416	-204.267392673337	-5661.76654414416	14.9812372495819	-34.2358077930622	0.0711647908238472	0.969542712829283	-170.031584880275	14.9812372495819	2.70226568332009
"12"	11	-5646.60686726262	-5855.58671100787	-5646.60686726262	-208.979843745251	-5646.60686726262	14.9812372495819	-38.9482588649757	0.209567222162307	0.903463267079121	-170.031584880275	14.9812372495819	1.58171695918581
"13"	12	-5640.2237776961	-5716.73669963886	-5640.2237776961	-76.5129219427604	-5640.2237776961	14.990913431478	-41.2188749355927	0.182558473524689	0.922941995470265	-35.2940470071677	14.990913431478	1.3628878422622
