"","birth_time","parent","id","death_time"
"1",15,0,-1,9.88493144822155
"2",15,-1,2,-1
"3",13.81155451,-1,-3,13.6646014610216
"4",13.73619251,-1,-4,10.5275822457462
"5",11.21495039,-1,-5,2.37683329735793
"6",10.36647064,2,6,7.7201786188291
"7",9.98840611,-5,-7,-1
"8",9.71665965,-5,-8,9.35463661198129
"9",6.75391507,-5,-9,3.04093842443673
"10",6.23459235,-7,-10,-1
"11",5.7632805,2,11,4.31290956501492
"12",5.54566413,-9,-12,5.45925039053954
"13",3.70875184,-9,-13,2.75961237535986
"14",2.38432325,-5,-14,-1
"15",1.88066669,2,15,-1
"16",0.75968656,15,16,-1
"17",0.30258626,16,17,-1
"18",0.25375394,-14,-18,-1
