"Sample"	"NSlikelihood"	"posterior"	"likelihood"	"prior"	"treeLikelihood.file57894bee3cc8"	"TreeHeight"	"BirthDeath"	"BDBirthRate"	"BDDeathRate"	"logP.mrca.auto_name_1.."	"mrca.age.auto_name_1."	"clockRate"
"1"	0	-1172.70737361725	-1186.75192745402	-1172.70737361725	-14.0445538367651	-1172.70737361725	15.0002023589587	-20.0128960084691	0.267800774925214	0.347949780321459	5.96834217170393	15.0002023589587	1.81686062476882
"2"	1	-1102.90066767886	-1116.19858581167	-1102.90066767886	-13.2979181328048	-1102.90066767886	15.0002023589587	-19.2662603045087	0.0892588217031101	0.902091749127644	5.96834217170393	15.0002023589587	1.71762175810073
"3"	2	-1097.71942744102	-1111.86453342171	-1097.71942744102	-14.1451059806825	-1097.71942744102	15.0002023589587	-20.1134481523864	0.130482028674329	0.732629514902906	5.96834217170393	15.0002023589587	3.64554545697576
"4"	3	-1097.35014776954	-1110.95526900968	-1097.35014776954	-13.6051212401406	-1097.35014776954	15.0002023589587	-19.5734634118446	0.152956043588446	0.171892857812544	5.96834217170393	15.0002023589587	10.4345756760866
"5"	4	-1089.97801565704	-1104.72715275529	-1089.97801565704	-14.7491370982462	-1089.97801565704	15.0002023589587	-20.7174792699501	0.108247604183521	0.130569881308947	5.96834217170393	15.0002023589587	16.8121508187801
"6"	5	-977.212437198414	-991.271583995101	-977.212437198414	-14.0591467966865	-977.212437198414	15.0002023589587	-20.0274889683904	0.290539141545858	0.33324364050593	5.96834217170393	15.0002023589587	20.2996965879171
"7"	6	-977.132911961508	-990.029925374158	-977.132911961508	-12.8970134126496	-977.132911961508	15.0002023589587	-18.8653555843536	0.14694742414062	0.643129710196736	5.96834217170393	15.0002023589587	10.2942021201311
"8"	7	-976.546864252384	-985.644491126305	-976.546864252384	-9.09762687392128	-976.546864252384	15.0002023589587	-15.0659690456252	0.137863288148014	0.750204479111734	5.96834217170393	15.0002023589587	34.8757236660007
"9"	8	-934.45903765972	-947.568732657106	-934.45903765972	-13.1096949973858	-934.45903765972	15.0002023589587	-19.0780371690897	0.136420217332735	0.459581600037112	5.96834217170393	15.0002023589587	5.65338984031736
"10"	9	-930.168104419267	-935.584722032272	-930.168104419267	-5.41661761300506	-930.168104419267	15.0002023589587	-11.384959784709	0.0582278242115806	0.983927512105383	5.96834217170393	15.0002023589587	9.36631288072054
"11"	10	-908.80961621629	-913.058186302875	-908.80961621629	-4.24857008658463	-908.80961621629	15.0002023589587	-10.2169122582886	0.308703642220789	0.93675440800202	5.96834217170393	15.0002023589587	7.84450115342081
"12"	11	-862.742207257501	-868.474993308098	-862.742207257501	-5.73278605059702	-862.742207257501	15.0002023589587	-11.701128222301	0.200341770357429	0.935261920004859	5.96834217170393	15.0002023589587	17.2657207718166
"13"	12	-805.359241824927	-813.889272245962	-805.359241824927	-8.53003042103453	-805.359241824927	15.0002023589587	-14.4983725927385	0.103315098172626	0.956518813722718	5.96834217170393	15.0002023589587	4.7957588792618
"14"	13	-798.992903709538	-807.093236799736	-798.992903709538	-8.10033309019723	-798.992903709538	15.0002023589587	-14.0686752619012	0.150132415686946	0.794479456857356	5.96834217170393	15.0002023589587	3.29376614040364
"15"	14	-794.675289573843	-806.201999611114	-794.675289573843	-11.5267100372708	-794.675289573843	15.0002023589587	-17.4950522089748	0.106452323371096	0.880372884792131	5.96834217170393	15.0002023589587	2.27191405830672
"16"	15	-789.228816860459	-792.861804766372	-789.228816860459	-3.6329879059135	-789.228816860459	15.0002023589587	-9.60133007761743	0.131425180110352	0.921868349551246	5.96834217170393	15.0002023589587	4.50654463787261
"17"	16	-774.795181040159	-787.069527694737	-774.795181040159	-12.2743466545776	-774.795181040159	15.0002023589587	-18.2426888262816	0.138661881139616	0.653997190950122	5.96834217170393	15.0002023589587	2.52666894311957
"18"	17	-773.884942919892	-787.023407765264	-773.884942919892	-13.1384648453721	-773.884942919892	15.0002023589587	-19.1068070170761	0.205965858245192	0.758995441500178	5.96834217170393	15.0002023589587	1.37500436872128
"19"	18	-772.523605097472	-783.69176046788	-772.523605097472	-11.1681553704084	-772.523605097472	15.0002023589587	-17.1364975421123	0.0855974693187045	0.92483041630176	5.96834217170393	15.0002023589587	1.43874613447935
"20"	19	-768.918898718081	-778.277344689241	-768.918898718081	-9.35844597116006	-768.918898718081	15.0002023589587	-15.326788142864	0.0900836778800885	0.852776648312446	5.96834217170393	15.0002023589587	0.701628079830748
"21"	20	-766.472467520362	-779.89886745681	-766.472467520362	-13.426399936448	-766.472467520362	15.0002023589587	-19.394742108152	0.13148400558111	0.778376734737152	5.96834217170393	15.0002023589587	1.12464767038587
"22"	21	-750.162693968871	-764.007185915039	-750.162693968871	-13.844491946168	-750.162693968871	15.0002023589587	-19.8128341178719	0.330775554804743	0.411564503862002	5.96834217170393	15.0002023589587	0.806048515356341
"23"	22	-740.920727106471	-752.647895840514	-740.920727106471	-11.7271687340432	-740.920727106471	15.0002023589587	-17.6955109057472	0.125187906403468	0.791463176309329	5.96834217170393	15.0002023589587	0.344290910830251
"24"	23	-738.866422004558	-751.593536066436	-738.866422004558	-12.7271140618772	-738.866422004558	15.0002023589587	-18.6954562335811	0.209286399618498	0.535282408972844	5.96834217170393	15.0002023589587	0.299092979876096
"25"	24	-734.875254522136	-745.833856628763	-734.875254522136	-10.9586021066273	-734.875254522136	15.0002023589587	-16.9269442783312	0.0606053111766321	0.919967363298709	5.96834217170393	15.0002023589587	0.626313844227314
"26"	25	-732.61294622138	-737.95327359222	-732.61294622138	-5.34032737083948	-732.61294622138	15.0002023589587	-11.3086695425434	0.0912598935003436	0.951406025057935	5.96834217170393	15.0002023589587	1.53464468552207
"27"	26	-732.504754754037	-741.917866070275	-732.504754754037	-9.41311131623768	-732.504754754037	15.0002023589587	-15.3814534879416	0.0513102789969621	0.970618476190523	5.96834217170393	15.0002023589587	0.648148349810188
"28"	27	-731.922652947476	-739.254723101603	-731.922652947476	-7.33207015412683	-731.922652947476	15.0002023589587	-13.3004123258308	0.0581446553028851	0.939917471714504	5.96834217170393	15.0002023589587	0.640930697030342
"29"	28	-729.705369633562	-739.448513003851	-729.705369633562	-9.74314337028864	-729.705369633562	15.0002023589587	-15.7114855419926	0.141683677109231	0.701739397226106	5.96834217170393	15.0002023589587	0.454358363591384
"30"	29	-729.412275765666	-739.937770244443	-729.412275765666	-10.5254944787767	-729.412275765666	15.0002023589587	-16.4938366504806	0.0978603062694875	0.68860389839315	5.96834217170393	15.0002023589587	0.331899353021919
"31"	30	-728.354886367833	-740.055526193238	-728.354886367833	-11.7006398254045	-728.354886367833	15.0002023589587	-17.6689819971084	0.04932496086428	0.93834175334425	5.96834217170393	15.0002023589587	0.165121310985483
"32"	31	-726.818909435518	-743.68792549319	-726.818909435518	-16.8690160576723	-726.818909435518	15.0002023589587	-22.8373582293762	0.0560095852972655	0.951151969981225	5.96834217170393	15.0002023589587	0.111890516065443
"33"	32	-725.931852530906	-738.825403639205	-725.931852530906	-12.8935511082991	-725.931852530906	15.0002023589587	-18.8618932800031	0.13299643405801	0.378310092367679	5.96834217170393	15.0002023589587	0.138807170189414
"34"	33	-723.769576055307	-738.304929951922	-723.769576055307	-14.5353538966153	-723.769576055307	15.0002023589587	-20.5036960683192	0.117825935210212	0.467136817680229	5.96834217170393	15.0002023589587	0.0990293064074216
"35"	34	-722.861065928786	-737.266352208123	-722.861065928786	-14.4052862793368	-722.861065928786	15.0002023589587	-20.3736284510408	0.112644342613681	0.339725567760647	5.96834217170393	15.0002023589587	0.0990166915709503
"36"	35	-722.622282920475	-736.090444513998	-722.622282920475	-13.4681615935229	-722.622282920475	15.0002023589587	-19.4365037652268	0.103453868980111	0.699793160125225	5.96834217170393	15.0002023589587	0.122998955777535
"37"	36	-722.523410703091	-737.536212853044	-722.523410703091	-15.0128021499531	-722.523410703091	14.9984655101266	-19.824289309977	0.150693702514368	0.637750292385459	4.81148716002389	14.9984655101266	0.121400830928072
"38"	37	-722.494593141199	-737.486650006521	-722.494593141199	-14.9920568653219	-722.494593141199	14.9984655101266	-19.8035440253458	0.0655768598857795	0.718569576817966	4.81148716002389	14.9984655101266	0.103999688787998
"39"	38	-722.107966956579	-737.377134021853	-722.107966956579	-15.2691670652738	-722.107966956579	14.9984655101266	-20.0806542252977	0.0335109501150787	0.861607921277094	4.81148716002389	14.9984655101266	0.0937891386569795
"40"	39	-721.925189625712	-737.960054059837	-721.925189625712	-16.0348644341243	-721.925189625712	14.9984655101266	-20.8463515941482	0.0276603102764688	0.868414282983667	4.81148716002389	14.9984655101266	0.0763960659706199
"41"	40	-721.898605583149	-738.579927772696	-721.898605583149	-16.6813221895474	-721.898605583149	14.9984655101266	-21.4928093495712	0.0399872246614665	0.713363050570602	4.81148716002389	14.9984655101266	0.0698392555772598
"42"	41	-721.880269730638	-738.945696537114	-721.880269730638	-17.0654268064762	-721.880269730638	14.9984655101266	-21.8769139665001	0.0619974903388835	0.835169114794641	4.81148716002389	14.9984655101266	0.0668150796693339
"43"	42	-721.744304441864	-738.684977334343	-721.744304441864	-16.9406728924789	-721.744304441864	14.9984655101266	-21.7521600525028	0.0704430251835511	0.371086109618429	4.81148716002389	14.9984655101266	0.0658252120169329
"44"	43	-721.720291367518	-739.282201377996	-721.720291367518	-17.5619100104783	-721.720291367518	14.9984655101266	-22.3733971705022	0.176120345572872	0.267297717360101	4.81148716002389	14.9984655101266	0.0688009006123207
"45"	44	-721.636245387629	-740.018803145937	-721.636245387629	-18.3825577583076	-721.636245387629	14.9984655101266	-23.1940449183315	0.165657011170266	0.723080257078296	4.81148716002389	14.9984655101266	0.0706691638446747
"46"	45	-721.622379972686	-740.424652787803	-721.622379972686	-18.8022728151172	-721.622379972686	14.9984655101266	-23.613759975141	0.198568454455994	0.54354560515859	4.81148716002389	14.9984655101266	0.0697873717171462
