"","lambda","mu","nu","q","seed","crown_age","cond","site_model","clock_model","tree_prior","gen_model","best_or_gen","nltt_1","nltt_2","nltt_3","nltt_4"
"1",0.2,0,1,0.1,1,6,1,"JC69","strict","yule","bd","best",0.264061622633457,0.258826474421024,0.076555113081145,0.112516418102979
"2",0.2,0,1,0.1,1,6,1,"JC69","strict","birth_death","mbd","best",0.222941468929753,0.202500178737628,0.0924910406298654,0.14684383666522
"3",0.2,0,1,0.1,1,6,1,"JC69","strict","birth_death","bd","gen",0.264061622633457,0.224101984821826,0.125069900871589,0.158365865371457
"4",0.2,0,1,0.1,1,6,1,"JC69","strict","birth_death","mbd","gen",0.222941468929753,0.29054592972033,0.194649714645277,0.0922470331360369
"5",0.2,0,1,0.1,2,6,1,"JC69","strict","yule","bd","best",0.230240155063635,0.215724668064601,0.166214609058743,0.149005528532409
"6",0.2,0,1,0.1,2,6,1,"JC69","strict","yule","mbd","best",0.13540655519184,0.151781082284041,0.179055488081566,0.153427672479678
"7",0.2,0,1,0.1,2,6,1,"JC69","strict","birth_death","bd","gen",0.230240155063635,0.178905167265427,0.186412414896283,0.123728277695651
"8",0.2,0,1,0.1,2,6,1,"JC69","strict","birth_death","mbd","gen",0.13540655519184,0.18023303277984,0.181272087792216,0.184925158278807
"9",0.2,0,1,0.15,1,6,1,"JC69","strict","yule","bd","best",0.264061622633457,0.258826474421024,0.076555113081145,0.112516418102979
"10",0.2,0,1,0.15,1,6,1,"JC69","strict","birth_death","mbd","best",0.222941468929753,0.202500178737628,0.0924910406298654,0.14684383666522
"11",0.2,0,1,0.15,1,6,1,"JC69","strict","birth_death","bd","gen",0.264061622633457,0.224101984821826,0.125069900871589,0.158365865371457
"12",0.2,0,1,0.15,1,6,1,"JC69","strict","birth_death","mbd","gen",0.222941468929753,0.29054592972033,0.194649714645277,0.0922470331360369
"13",0.2,0,1,0.15,2,6,1,"JC69","strict","yule","bd","best",0.0407640604827748,0.110777430169577,0.036377180682888,0.0403903554125826
"14",0.2,0,1,0.15,2,6,1,"JC69","strict","yule","mbd","best",0.0372960428162248,0.0990246980576756,0.0837076769018846,0.0487256723936459
"15",0.2,0,1,0.15,2,6,1,"JC69","strict","birth_death","bd","gen",0.0407640604827748,0.0436884719873011,0.0339924179737103,0.0504135403643418
"16",0.2,0,1,0.15,2,6,1,"JC69","strict","birth_death","mbd","gen",0.0372960428162248,0.088848579314578,0.0552983153399752,0.0506759362367975
"17",0.2,0,1,0.2,1,6,1,"JC69","strict","yule","bd","best",0.264061622633457,0.258826474421024,0.076555113081145,0.112516418102979
"18",0.2,0,1,0.2,1,6,1,"JC69","strict","birth_death","mbd","best",0.222941468929753,0.202500178737628,0.0924910406298654,0.14684383666522
"19",0.2,0,1,0.2,1,6,1,"JC69","strict","birth_death","bd","gen",0.264061622633457,0.224101984821826,0.125069900871589,0.158365865371457
"20",0.2,0,1,0.2,1,6,1,"JC69","strict","birth_death","mbd","gen",0.222941468929753,0.29054592972033,0.194649714645277,0.0922470331360369
